time,open,high,low,close,volume
2025-09-26T15:50:00.000000000Z,200.377,200.39,200.34,200.358,832
2025-09-26T15:55:00.000000000Z,200.361,200.39,200.344,200.382,946
2025-09-26T16:00:00.000000000Z,200.383,200.466,200.375,200.452,976
2025-09-26T16:05:00.000000000Z,200.458,200.487,200.442,200.472,788
2025-09-26T16:10:00.000000000Z,200.472,200.488,200.414,200.429,744
2025-09-26T16:15:00.000000000Z,200.424,200.44,200.382,200.434,998
2025-09-26T16:20:00.000000000Z,200.434,200.487,200.43,200.486,901
2025-09-26T16:25:00.000000000Z,200.486,200.506,200.469,200.488,737
2025-09-26T16:30:00.000000000Z,200.486,200.494,200.446,200.486,662
2025-09-26T16:35:00.000000000Z,200.486,200.496,200.435,200.436,766
2025-09-26T16:40:00.000000000Z,200.438,200.465,200.402,200.406,552
2025-09-26T16:45:00.000000000Z,200.407,200.423,200.386,200.392,533
2025-09-26T16:50:00.000000000Z,200.39,200.422,200.378,200.378,758
2025-09-26T16:55:00.000000000Z,200.377,200.406,200.361,200.376,690
2025-09-26T17:00:00.000000000Z,200.376,200.398,200.358,200.374,631
2025-09-26T17:05:00.000000000Z,200.375,200.423,200.358,200.412,676
2025-09-26T17:10:00.000000000Z,200.412,200.442,200.401,200.416,391
2025-09-26T17:15:00.000000000Z,200.416,200.42,200.387,200.394,558
2025-09-26T17:20:00.000000000Z,200.395,200.412,200.384,200.408,438
2025-09-26T17:25:00.000000000Z,200.408,200.428,200.402,200.411,315
2025-09-26T17:30:00.000000000Z,200.409,200.43,200.39,200.402,455
2025-09-26T17:35:00.000000000Z,200.401,200.436,200.393,200.414,527
2025-09-26T17:40:00.000000000Z,200.414,200.436,200.4,200.43,464
2025-09-26T17:45:00.000000000Z,200.431,200.437,200.42,200.428,437
2025-09-26T17:50:00.000000000Z,200.428,200.466,200.427,200.433,511
2025-09-26T17:55:00.000000000Z,200.434,200.45,200.408,200.428,633
2025-09-26T18:00:00.000000000Z,200.43,200.466,200.43,200.464,691
2025-09-26T18:05:00.000000000Z,200.464,200.464,200.433,200.444,643
2025-09-26T18:10:00.000000000Z,200.444,200.452,200.432,200.44,371
2025-09-26T18:15:00.000000000Z,200.44,200.448,200.428,200.442,321
2025-09-26T18:20:00.000000000Z,200.441,200.463,200.436,200.463,377
2025-09-26T18:25:00.000000000Z,200.466,200.477,200.447,200.449,371
2025-09-26T18:30:00.000000000Z,200.448,200.468,200.436,200.447,383
2025-09-26T18:35:00.000000000Z,200.446,200.456,200.43,200.442,387
2025-09-26T18:40:00.000000000Z,200.444,200.458,200.436,200.436,306
2025-09-26T18:45:00.000000000Z,200.438,200.447,200.396,200.418,703
2025-09-26T18:50:00.000000000Z,200.418,200.433,200.367,200.371,780
2025-09-26T18:55:00.000000000Z,200.37,200.412,200.364,200.392,792
2025-09-26T19:00:00.000000000Z,200.392,200.41,200.389,200.406,532
2025-09-26T19:05:00.000000000Z,200.406,200.418,200.394,200.403,485
2025-09-26T19:10:00.000000000Z,200.409,200.41,200.366,200.38,399
2025-09-26T19:15:00.000000000Z,200.388,200.427,200.384,200.426,612
2025-09-26T19:20:00.000000000Z,200.426,200.444,200.414,200.436,724
2025-09-26T19:25:00.000000000Z,200.436,200.468,200.432,200.462,766
2025-09-26T19:30:00.000000000Z,200.461,200.487,200.46,200.478,532
2025-09-26T19:35:00.000000000Z,200.478,200.478,200.432,200.436,494
2025-09-26T19:40:00.000000000Z,200.436,200.442,200.409,200.409,439
2025-09-26T19:45:00.000000000Z,200.408,200.436,200.397,200.428,309
2025-09-26T19:50:00.000000000Z,200.427,200.438,200.406,200.424,419
2025-09-26T19:55:00.000000000Z,200.426,200.464,200.398,200.462,683
2025-09-26T20:00:00.000000000Z,200.462,200.464,200.428,200.456,452
2025-09-26T20:05:00.000000000Z,200.456,200.457,200.394,200.408,195
2025-09-26T20:10:00.000000000Z,200.409,200.447,200.409,200.44,135
2025-09-26T20:15:00.000000000Z,200.438,200.452,200.428,200.43,158
2025-09-26T20:20:00.000000000Z,200.434,200.45,200.428,200.45,192
2025-09-26T20:25:00.000000000Z,200.445,200.454,200.43,200.442,148
2025-09-26T20:30:00.000000000Z,200.442,200.478,200.43,200.474,166
2025-09-26T20:35:00.000000000Z,200.476,200.481,200.422,200.422,181
2025-09-26T20:40:00.000000000Z,200.423,200.462,200.404,200.445,150
2025-09-26T20:45:00.000000000Z,200.444,200.452,200.4,200.426,476
2025-09-26T20:50:00.000000000Z,200.42,200.435,200.398,200.426,569
2025-09-26T20:55:00.000000000Z,200.419,200.425,200.298,200.366,461
2025-09-28T21:00:00.000000000Z,200.284,200.284,200.284,200.284,1
2025-09-28T21:05:00.000000000Z,200.313,200.354,200.3,200.33,21
2025-09-28T21:10:00.000000000Z,200.321,200.34,200.321,200.336,7
2025-09-28T21:15:00.000000000Z,200.342,200.373,200.329,200.338,32
2025-09-28T21:20:00.000000000Z,200.339,200.374,200.326,200.34,34
2025-09-28T21:25:00.000000000Z,200.34,200.34,200.302,200.31,25
2025-09-28T21:30:00.000000000Z,200.356,200.362,200.204,200.204,187
2025-09-28T21:35:00.000000000Z,200.2,200.278,200.2,200.27,139
2025-09-28T21:40:00.000000000Z,200.268,200.285,200.248,200.283,143
2025-09-28T21:45:00.000000000Z,200.282,200.353,200.282,200.342,307
2025-09-28T21:50:00.000000000Z,200.342,200.354,200.324,200.353,165
2025-09-28T21:55:00.000000000Z,200.353,200.38,200.328,200.374,173
2025-09-28T22:00:00.000000000Z,200.342,200.4,200.234,200.275,402
2025-09-28T22:05:00.000000000Z,200.276,200.364,200.27,200.364,165
2025-09-28T22:10:00.000000000Z,200.366,200.368,200.332,200.345,199
2025-09-28T22:15:00.000000000Z,200.348,200.394,200.346,200.39,209
2025-09-28T22:20:00.000000000Z,200.384,200.411,200.382,200.406,131
2025-09-28T22:25:00.000000000Z,200.408,200.424,200.392,200.424,165
2025-09-28T22:30:00.000000000Z,200.419,200.421,200.342,200.371,217
2025-09-28T22:35:00.000000000Z,200.37,200.372,200.336,200.36,145
2025-09-28T22:40:00.000000000Z,200.36,200.377,200.35,200.366,96
2025-09-28T22:45:00.000000000Z,200.366,200.392,200.356,200.366,133
2025-09-28T22:50:00.000000000Z,200.365,200.365,200.351,200.353,104
2025-09-28T22:55:00.000000000Z,200.354,200.374,200.354,200.359,83
2025-09-28T23:00:00.000000000Z,200.358,200.36,200.336,200.345,146
2025-09-28T23:05:00.000000000Z,200.344,200.365,200.334,200.362,153
2025-09-28T23:10:00.000000000Z,200.362,200.376,200.347,200.366,161
2025-09-28T23:15:00.000000000Z,200.366,200.368,200.324,200.334,498
2025-09-28T23:20:00.000000000Z,200.336,200.337,200.298,200.303,371
2025-09-28T23:25:00.000000000Z,200.302,200.302,200.264,200.282,451
2025-09-28T23:30:00.000000000Z,200.279,200.32,200.275,200.318,481
2025-09-28T23:35:00.000000000Z,200.316,200.318,200.291,200.296,223
2025-09-28T23:40:00.000000000Z,200.295,200.329,200.294,200.317,263
2025-09-28T23:45:00.000000000Z,200.316,200.322,200.284,200.3,649
2025-09-28T23:50:00.000000000Z,200.298,200.333,200.296,200.326,410
2025-09-28T23:55:00.000000000Z,200.325,200.331,200.314,200.328,381
2025-09-29T00:00:00.000000000Z,200.33,200.338,200.224,200.264,1466
2025-09-29T00:05:00.000000000Z,200.264,200.287,200.24,200.25,991
